Description:,,,,,,,,,,,,,,,,,,,,,,
Source: https://doi.org/10.5061/dryad.9p8cz8wc6,,,,,,,,,,,,,,,,,,,,,,
"Citation: Acevedo, Miguel; Beaudrot, Lydia; Melendez-Ackerman, Elvia; Tremblay, Raymond (2020), Local extinction risk under climate change in a neotropical asymmetrically dispersed epiphyte, Dryad, Dataset, https://doi.org/10.5061/dryad.9p8cz8wc6",,,,,,,,,,,,,,,,,,,,,,
License: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UID,x.coord,y.coord,z.coord,Phorophyte,X70199,X20100,X80100,X10101,X60101,X10102,X60102,X120202,X61003,X12404,X71704,X12205,X91705,X72406,X20307,X61507,X10208,Total_Moss_area
132,152.1112906,-192.5566989,44.31121655,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51
133,153.9984214,-191.7042984,45.37138172,ROCKS,1,1,1,,1,1,1,1,1,0,1,1,1,1,1,1,1,64
134,154.9924995,-192.538429,44.87325027,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
135,154.6829902,-193.5851357,44.64287881,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
136,155.2541298,-193.9696563,45.14477678,ROCKS,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,14
141,159.4563457,-191.6654443,45.53985133,ROCKS,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,60
142,158.8311092,-190.9203165,45.42041937,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
143,158.2251454,-190.2980578,45.53985133,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
144,157.7748901,-188.9215582,44.85582187,ROCKS,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,0,44
145,160.04454,-192.3187003,45.67907801,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,108
146,160.701371,-192.6319926,45.86051943,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,102
147,161.3706625,-193.6448227,45.81022018,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
148,161.5238866,-195.2858104,45.85283338,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,160.482288,-192.6925724,45.74976222,TREES,1,1,1,1,1,0,0,1,1,1,1,0,,,,,,15
150,161.4283264,-193.4316986,47.28638319,TREES,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,16
151,161.8719651,-193.4949028,47.41143716,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,15
152,162.0455562,-194.0756353,47.26624818,TREES,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,40
153,162.7407795,-194.4570993,45.89996642,TREES,1,1,0,1,0,0,1,,1,0,0,0,0,,1,1,0,22
154,163.0316663,-195.2785383,47.24183933,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
155,163.9810336,-194.9085149,47.26671204,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
156,164.1277063,-195.4833712,47.62530696,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
157,61.09707164,-81.25250552,19.36335993,TREES,1,0,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,39
158,59.77612472,-81.27556273,20.43320459,TREES,0,,0,,,,0,0,0,0,0,,,0,0,0,0,3
159,57.59703678,-76.60780238,19.77004017,TREES,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,0,21
160,55.56365665,-77.52016998,19.9473034,TREES,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,0,56
161,164.905497,-196.9038673,47.6370112,ROCKS,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,134
162,162.9184632,-196.9558996,47.17811105,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,87
163,161.373741,-198.7817352,47.14587775,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
164,160.5651019,-198.4836419,46.22485587,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,164.4418563,-199.533304,47.6370112,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38
166,162.7607361,-201.2144242,48.18589177,ROCKS,0,0,0,0,0,0,0,0,1,0,0,,,,,,,0
169,160.7472567,-204.2621758,48.48040019,TREES,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,0
170,159.4540312,-204.2396025,51.38547475,TREES,0,0,0,,,,0,0,0,0,,0,0,0,0,0,0,70
171,160.2702586,-205.9256661,51.36048232,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,25
172,159.8680245,-206.9681743,50.95374273,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
173,162.3532534,-204.5566923,48.80311799,ROCKS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,32
174,162.1431654,-205.6375013,48.5489233,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
175,161.7019947,-205.8348593,48.67761372,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
176,161.6452976,-206.1101594,49.01273326,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,161.163763,-207.6554206,49.8815873,TREES,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,53
178,158.3837347,-206.1772533,50.96572925,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
179,157.2318532,-206.7114525,50.81513418,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
180,155.8036325,-206.2691966,50.26873573,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
181,161.7880731,-209.11265,50.93783252,TREES,1,1,1,1,1,1,1,1,1,1,1,,,,,,,3
183,158.5748891,-210.0950189,50.93783252,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,11
184,158.0934984,-210.0338109,51.0707996,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
